,artist,album,track_name,track_id,duration_ms,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness
56,The Weeknd,Starboy,Party Monster,4F7A0DXBrmUAkp32uenhZt,249213,0.573,0.218,0.63,77.525,-8.389,0.105,2.31e-05,0.259,0.189
57,James Blake,Friends That Break Your Heart (Bonus),Famous Last Words,31H5dHBR7g381udIzXSKIE,256156,0.583,0.0398,0.192,75.534,-12.578,0.039,0.26,0.118,0.959
58,Denzel Curry,Melt My Eyez See Your Future,The Last,3lKAIzNiCFL9cqPl3Glb5B,262587,0.808,0.306,0.559,111.043,-9.007,0.0977,0,0.113,0.409
59,Men I Trust,Show Me How,Show Me How,01TyFEZu6mHbffsVfxgrFn,215111,0.791,0.544,0.267,165.99,-11.997,0.0415,0.534,0.102,0.674
60,The Weeknd,Kiss Land,Kiss Land,5idmfDT06TjCQ1SPDsa5qh,455333,0.324,0.4,0.852,121.881,-6.675,0.109,0,0.061,0.0415
61,Magdalena Bay,Mercurial World,Mercurial World,30YK7cZlruEW0Clyxwk2nH,181174,0.574,0.334,0.673,119.987,-6.863,0.0479,0.00172,0.336,0.00424
62,Kanye West,The College Dropout,Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,221227,0.571,0.66,0.739,83.089,-6.11,0.247,5.21e-06,0.158,0.00865
63,Djo,Twenty Twenty,Roddy,5hS8s1Vf4CeSRBT1bTWa39,252987,0.558,0.674,0.522,179.982,-9.161,0.0278,0.0273,0.0686,0.112
64,Drake,Take Care (Deluxe),Crew Love,0V4l4GQhgnWQGtCWpvA7va,208813,0.418,0.294,0.546,160.152,-9.057,0.238,0,0.229,0.227
65,Magdalena Bay,Mercurial World,Secrets (Your Fire),3tgHGoK5ItQv2q2yqggxlb,245897,0.691,0.826,0.827,107.997,-5.573,0.0402,0.637,0.416,0.00177
66,James Blake,Friends That Break Your Heart (Bonus),Coming Back (feat. SZA),3lRx4jcfc88j54ZU2h2G60,195905,0.653,0.102,0.496,86.013,-7.262,0.0868,0.274,0.151,0.625
67,FKA twigs,CAPRISONGS,careless (feat. daniel caesar),3xqtvSfofDvSMVwwSbuvKi,216760,0.706,0.26,0.395,118.128,-6.952,0.0588,2.16e-05,0.203,0.724
68,Father John Misty,Chloë and the Next 20th Century,Q4,2RCSJR2v4LXlkW6o4RD5R2,297947,0.557,0.426,0.73,95.08,-5.489,0.0234,0.000155,0.204,0.0624
69,Vince Staples,Big Fish Theory,Yeah Right,35tWhD29yvWwB0IDRr6zsL,188947,0.734,0.285,0.468,118.001,-9.029,0.0912,0,0.382,0.018
70,Porter Robinson,Nurture,Look at the Sky,5lXNcc8QeM9KpAWNHAL0iS,309986,0.568,0.385,0.564,115.059,-8.231,0.0273,0.000127,0.0766,0.0105
71,Lana Del Rey,Honeymoon,Freak,3sYDVtqO35oRSOIMx7dOqR,295093,0.287,0.109,0.43,93.984,-10.014,0.033,0.000579,0.32,0.269
72,Perfume Genius,No Shape,Slip Away,13yxz52EwElyue9PLrqcZY,165330,0.603,0.572,0.509,136.592,-6.824,0.0311,2.91e-05,0.0627,0.374
73,The Last Shadow Puppets,Everything You've Come To Expect (Deluxe Edition),"Sweet Dreams, TN",1W0OCrMsRP1SLTEdw3JwEz,236253,0.282,0.477,0.566,112.362,-6.924,0.0291,0,0.38,0.000878
74,Kanye West,Graduation,Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,237507,0.639,0.43,0.628,90.482,-7.578,0.0399,0,0.386,0.0381
75,Kero Kero Bonito,Bonito Generation,Picture This,7wz3rjLXic7K4LAKdlin2t,204497,0.744,0.667,0.821,106.976,-4.548,0.0368,6.22e-05,0.112,0.00138
76,JPEGMAFIA,LP!,THOT'S PRAYER!,0O0q3mDpIZH1BJXBEH5ad8,187758,0.697,0.433,0.65,123.92,-7.27,0.0996,0,0.354,0.456
77,FKA twigs,CAPRISONGS,minds of men,6rjnUkLj645A70RfJnCnPI,204533,0.627,0.183,0.519,130.789,-9.349,0.289,0.00183,0.102,0.798
78,James Blake,Assume Form,Can't Believe The Way We Flow,03NtFY8KBtBsLQg2E9rVDI,267200,0.259,0.29,0.536,143.948,-10.309,0.0367,0.000501,0.432,0.705
79,Kero Kero Bonito,Time 'n' Place,Swimming,3PlW2cNr5pmZCXcf1Vm33h,199498,0.679,0.6,0.609,119.998,-5.512,0.029,0,0.0972,0.686
80,Harry Styles,Harry's House,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,177955,0.714,0.901,0.728,114.996,-4.595,0.0468,0,0.106,0.298
81,Helena Deland,"Altogether Unaccompanied, Vol. I",There Are a Thousand,6fGBrrEcpArzSxiiGv1wof,216243,0.642,0.432,0.464,138.112,-9.544,0.0269,0.154,0.148,0.825
82,Japanese Breakfast,Jubilee,Be Sweet,0dpyzcT3RMNNSd2xKBf35I,195371,0.653,0.62,0.877,109.985,-5.82,0.0275,1.04e-05,0.32,0.0102
83,Sky Ferreira,"Night Time, My Time",24 Hours,2XPxacir3WoMtJ2pbTd240,244133,0.519,0.245,0.874,108.242,-3.554,0.0391,0,0.276,0.031
84,KAYTRANADA,Intimidated,Intimidated (feat. H.E.R.),0dFdGPVLs3k0z9ezYWZzUa,207840,0.738,0.342,0.75,112.009,-3.654,0.219,0.00976,0.174,0.0167
85,Steve Lacy,Gemini Rights,Helmet,0DmkBOGgEWMbUJlL6VwwF2,201547,0.612,0.763,0.675,97.04,-6.518,0.0231,0,0.217,0.0994
86,Taylor Swift,folklore,august,3hUxzQpSfdDqwM3ZTFQY0K,261923,0.532,0.403,0.623,89.937,-9.208,0.0331,7.28e-05,0.0925,0.538
87,Father John Misty,"I Love You, Honeybear",Chateau Lobby #4 (in C for Two Virgins),3wfF0Nw234zHY1vdIWIc2g,170827,0.446,0.8,0.807,188.094,-5.222,0.041,0,0.226,0.215
88,Flume,The Difference,The Difference,4nlvKIIetOWGIMyhjQXgOZ,139663,0.56,0.424,0.865,159.96,-1.148,0.0909,0.000153,0.083,0.255
89,Jack Harlow,Sweet Action,I WANNA SEE SOME ASS (feat. jetsonmade),2aWVaW1p2kUc5yuKwBmRJi,125302,0.899,0.865,0.691,107.951,-7.554,0.0497,0.000451,0.135,0.18
90,Mitski,Lush,Liquid Smooth,3XCveEutwTaDiekRkkfdp9,169773,0.424,0.124,0.342,76.235,-9.469,0.0339,0,0.136,0.838
91,Harry Styles,Harry's House,Cinema,35TyJIMR3xRouUuo2sjS6v,243508,0.829,0.896,0.644,105.993,-7.696,0.0427,0.0511,0.0944,0.354
92,Rina Sawayama,SAWAYAMA,Comme Des Garçons (Like The Boys),43bYs8QkPdCdy5esfnmU1T,181506,0.724,0.645,0.715,119.162,-3.776,0.116,0.00276,0.441,0.0246
93,The Weeknd,After Hours,Escape From LA,1sOW4PuG5X3Ie3EXUhAopJ,355960,0.404,0.168,0.524,145.74,-8.996,0.0593,0.00316,0.199,0.0456
94,Kanye West,Late Registration,Touch The Sky,2dxjKgT0li4qBI3QwuN9Ih,236600,0.552,0.554,0.846,98.56,-4.912,0.342,0,0.309,0.0114
95,Faye Webster,I Know I'm Funny haha,Better Distractions,3CmcswzHOACDjooV1KLULN,249985,0.701,0.566,0.52,96.372,-9.541,0.0243,0.0147,0.0916,0.0654
96,Angel Olsen,All Mirrors,Chance,6oDmpEgamGo6r3YRrNRQM8,359467,0.199,0.246,0.351,182.463,-8.997,0.0303,0.000366,0.281,0.183
97,Gesaffelstein,Hyperion,Lost in the Fire (feat. The Weeknd),2vXKRlJBXyOcvZYTdNeckS,202093,0.658,0.166,0.671,100.966,-12.21,0.0363,0.000927,0.115,0.0933
98,The Neighbourhood,Chip Chrome & The Mono-Tones,Devil's Advocate,4XfI7M5gLwEY84gYiH4RDD,186307,0.662,0.864,0.681,98.004,-8.152,0.0315,0.139,0.508,0.0321
99,Weyes Blood,Titanic Rising,Everyday,2VYqgye3Wf9ySE4qYM3iJn,307013,0.483,0.423,0.57,112.975,-7.245,0.0308,4.43e-05,0.0938,0.269
